gas_price,value,gas_limit,data_size,nonce_conflict,nonce_gap,gas_differential,gas_volatility,submission_frequency,arrival_interval,balance_adequacy,recipient_similarity,is_rbf,attack_type
10000000000,0,21000,0,0,0,0,1.0,1,10.0,1,-1,0,0
15000000000,0,21000,0,1,0,5000000000,1.49999999985,2,1.5,1,1,1,0
20000000000,10000000000000000,21000,0,0,0,0,1.0,1,10.0,1,-1,0,0
21000000000,10000000000000000,21000,0,0,1,0,1.0,2,10.0,1,-1,0,0
18000000000,10000000000000000,21000,0,0,2,0,1.0,3,10.0,1,-1,0,0
14000000000,10000000000000000,21000,0,0,3,0,1.0,4,10.0,1,-1,0,0
20000000000,10000000000000000,21000,0,0,4,0,1.0,5,10.0,1,-1,0,0
13000000000,10000000000000000,21000,0,0,5,0,1.0,6,10.0,1,-1,0,0
15000000000,10000000000000000,21000,0,0,6,0,1.0,7,10.0,1,-1,0,0
27000000000,10000000000000000,21000,0,0,7,0,1.0,8,10.0,1,-1,0,3
57000000000,1293818972571375600,21000,0,0,0,0,1.0,1,10.0,1,-1,0,0
66000000000,1293818972571375600,21000,0,1,0,9000000000,1.1578947368217913,2,0.05,1,0,0,2
20000000000,2226063245454201800,21000,0,0,0,0,1.0,1,10.0,1,-1,0,0
35000000000,2226063245454201800,21000,0,1,0,15000000000,1.7499999999125,2,1.5,1,0,0,1
21000000000,310701018176603950,21000,0,0,0,0,1.0,1,10.0,1,-1,0,0
19000000000,144756536923539850,21000,0,0,0,0,1.0,1,10.0,1,-1,0,0
15000000000,213575541349759420,21000,0,0,0,0,1.0,1,10.0,1,-1,0,0
40000000000,1068437032107599300,21000,0,0,0,0,1.0,1,10.0,1,-1,0,0
46000000000,1068437032107599300,21000,0,1,0,6000000000,1.14999999997125,2,0.05,1,0,0,2
30000000000,48335451725898253,122226,16,0,0,0,1.0,1,10.0,1,-1,0,0
19000000000,2231322861530818700,21000,0,0,0,0,1.0,1,10.0,1,-1,0,0
33000000000,2231322861530818700,21000,0,1,0,14000000000,1.736842105171745,2,1.5,1,0,0,1
25000000000,422519645333531500,21000,0,0,0,0,1.0,1,10.0,1,-1,0,0
33000000000,45978912743329152,115948,102,0,0,0,1.0,1,10.0,1,-1,0,0
20000000000,1808222096430152000,21000,0,0,0,0,1.0,1,10.0,1,-1,0,0
30000000000,1808222096430152000,21000,0,1,0,10000000000,1.499999999925,2,1.5,1,0,0,1
10000000000,0,121000,0,0,0,0,1.0,1,10.0,1,-1,0,0
10000000000,0,121000,0,0,1,0,1.0,2,10.0,1,-1,0,0
10000000000,0,121000,0,0,2,0,1.0,3,10.0,1,-1,0,0
10000000000,0,121000,0,0,3,0,1.0,4,10.0,1,-1,0,0
10000000000,0,121000,0,0,4,0,1.0,5,10.0,1,-1,0,0
10000000000,0,121000,0,0,5,0,1.0,6,10.0,1,-1,0,0
10000000000,0,121000,0,0,6,0,1.0,7,10.0,1,-1,0,0
10000000000,0,121000,0,0,7,0,1.0,8,10.0,1,-1,0,3
10000000000,0,121000,0,0,8,0,1.0,9,10.0,1,-1,0,3
10000000000,0,121000,0,0,9,0,1.0,10,10.0,1,-1,0,3
51000000000,5000000000000000000,121000,0,0,10,0,1.0,11,10.0,1,-1,0,3
63000000000,5000000000000000000,121000,0,1,0,12000000000,1.2352941176228374,12,0.05,1,0,0,4
23000000000,10000000000000000,21000,0,0,0,0,1.0,1,10.0,1,-1,0,0
29000000000,10000000000000000,21000,0,0,1,0,1.0,2,10.0,1,-1,0,0
19000000000,10000000000000000,21000,0,0,2,0,1.0,3,10.0,1,-1,0,0
17000000000,10000000000000000,21000,0,0,3,0,1.0,4,10.0,1,-1,0,0
28000000000,10000000000000000,21000,0,0,4,0,1.0,5,10.0,1,-1,0,0
