gas_price,value,nonce_conflict,gas_differential,is_attack
20000000000,1E+17,0,0,0
20000000000,1E+17,0,0,0
20000000000,1E+17,0,0,0
20000000000,1E+17,0,0,0
10000000000,5E+18,0,0,0
1E+11,5E+18,1,90000000000,1
20000000000,1E+17,0,0,0
20000000000,1E+17,0,0,0
20000000000,1E+17,0,0,0
20000000000,1E+17,0,0,0
20000000000,1E+17,0,0,0
20000000000,1E+17,0,0,0
1E+11,5E+18,0,0,0
20000000000,1E+17,0,0,0
20000000000,1E+17,0,0,0
20000000000,1E+17,0,0,0
20000000000,1E+17,0,0,0
20000000000,1E+17,0,0,0
10000000000,5E+18,0,0,0
1E+11,5E+18,1,90000000000,1
20000000000,1E+17,0,0,0
20000000000,1E+17,0,0,0
20000000000,1E+17,0,0,0
20000000000,1E+17,0,0,0
20000000000,1E+17,0,0,0
20000000000,1E+17,0,0,0
20000000000,1E+17,0,0,0
20000000000,1E+17,0,0,0
20000000000,1E+17,0,0,0
20000000000,1E+17,0,0,0
20000000000,1E+17,0,0,0
20000000000,1E+17,0,0,0
1E+11,5E+18,0,0,0
20000000000,1E+17,0,0,0
10000000000,5E+18,0,0,0
1E+11,5E+18,1,90000000000,1
20000000000,1E+17,0,0,0
20000000000,1E+17,0,0,0
20000000000,1E+17,0,0,0
20000000000,1E+17,0,0,0
20000000000,1E+17,0,0,0
20000000000,1E+17,0,0,0
1E+11,5E+18,0,0,0
20000000000,1E+17,0,0,0
20000000000,1E+17,0,0,0
20000000000,1E+17,0,0,0
20000000000,1E+17,0,0,0
10000000000,5E+18,0,0,0
1E+11,5E+18,1,90000000000,1
20000000000,1E+17,0,0,0
20000000000,1E+17,0,0,0
1E+11,5E+18,0,0,0
20000000000,1E+17,0,0,0
20000000000,1E+17,0,0,0
20000000000,1E+17,0,0,0
20000000000,1E+17,0,0,0
20000000000,1E+17,0,0,0
20000000000,1E+17,0,0,0
20000000000,1E+17,0,0,0
20000000000,1E+17,0,0,0
20000000000,1E+17,0,0,0
20000000000,1E+17,0,0,0
20000000000,1E+17,0,0,0
10000000000,5E+18,0,0,0
1E+11,5E+18,1,90000000000,1
20000000000,1E+17,0,0,0
20000000000,1E+17,0,0,0
20000000000,1E+17,0,0,0
20000000000,1E+17,0,0,0
20000000000,1E+17,0,0,0
20000000000,1E+17,0,0,0
1E+11,5E+18,0,0,0
20000000000,1E+17,0,0,0
20000000000,1E+17,0,0,0
10000000000,5E+18,0,0,0
1E+11,5E+18,1,90000000000,1
20000000000,1E+17,0,0,0
20000000000,1E+17,0,0,0
20000000000,1E+17,0,0,0
20000000000,1E+17,0,0,0
20000000000,1E+17,0,0,0
20000000000,1E+17,0,0,0
20000000000,1E+17,0,0,0
20000000000,1E+17,0,0,0
20000000000,1E+17,0,0,0
20000000000,1E+17,0,0,0
20000000000,1E+17,0,0,0
20000000000,1E+17,0,0,0
20000000000,1E+17,0,0,0
1E+11,5E+18,0,0,0
20000000000,1E+17,0,0,0
20000000000,1E+17,0,0,0
20000000000,1E+17,0,0,0
20000000000,1E+17,0,0,0
20000000000,1E+17,0,0,0
10000000000,5E+18,0,0,0
1E+11,5E+18,1,90000000000,1
20000000000,1E+17,0,0,0
20000000000,1E+17,0,0,0
20000000000,1E+17,0,0,0
20000000000,1E+17,0,0,0
20000000000,1E+17,0,0,0
20000000000,1E+17,0,0,0
20000000000,1E+17,0,0,0
1E+11,5E+18,0,0,0
20000000000,1E+17,0,0,0
20000000000,1E+17,0,0,0
20000000000,1E+17,0,0,0
20000000000,1E+17,0,0,0
20000000000,1E+17,0,0,0
20000000000,1E+17,0,0,0
20000000000,1E+17,0,0,0
20000000000,1E+17,0,0,0
10000000000,5E+18,0,0,0
1E+11,5E+18,1,90000000000,1
20000000000,1E+17,0,0,0
20000000000,1E+17,0,0,0
