Feature Removed,Baseline Accuracy,Ablated Accuracy,Accuracy Drop,Drop %,F1 Drop
nonce_gap,0.964814190003374,0.9412445172796067,0.02356967272376731,2.4429235150122417,0.023346532334526438
submission_frequency,0.964814190003374,0.96124740926399,0.00356678073938399,0.36968576709796497,0.003567079935166473
recipient_similarity,0.964814190003374,0.9624524027570251,0.0023617872463488343,0.24479192686216347,0.002267245572795007
data_size,0.964814190003374,0.9626452017159107,0.0021689882874632582,0.22480891242444034,0.0020724069845434734
gas_limit,0.964814190003374,0.963030799633682,0.001783390369691995,0.18484288354898248,0.0017050460560176228
value,0.964814190003374,0.9631753988528462,0.0016387911505277852,0.16985562272068722,0.0015527095938919766
nonce_conflict,0.964814190003374,0.9631753988528462,0.0016387911505277852,0.16985562272068722,0.001562109996938954
gas_differential,0.964814190003374,0.9631753988528462,0.0016387911505277852,0.16985562272068722,0.0015531469792373631
balance_adequacy,0.964814190003374,0.9631753988528462,0.0016387911505277852,0.16985562272068722,0.001562109996938954
gas_price,0.964814190003374,0.963271798332289,0.0015423916710849417,0.1598641155018199,0.0014177513500580607
gas_volatility,0.964814190003374,0.963512797030896,0.0013013929724779993,0.1348853474546688,0.0012185021736045298
arrival_interval,0.964814190003374,0.9641875933869957,0.0006265966163783165,0.06494479692262044,0.0005427225021558124
