Features_Removed,Last_Removed,Accuracy,Accuracy_Drop,Drop_%
1,balance_adequacy,0.9631753988528462,0.0016387911505277852,0.16985562272068722
2,gas_volatility,0.963512797030896,0.0013013929724779993,0.1348853474546688
3,gas_price,0.9631753988528462,0.0016387911505277852,0.16985562272068722
4,gas_limit,0.9634163975514533,0.0013977924519207319,0.14487685467352462
5,data_size,0.9636091965103388,0.0012049934930351558,0.12489384023580145
6,arrival_interval,0.961970405359811,0.002843784643562941,0.2947494629564887
7,value,0.9616330071817613,0.003181182821612727,0.3297197382225071
8,nonce_conflict,0.9616330071817613,0.003181182821612727,0.3297197382225071
9,recipient_similarity,0.9604762134284475,0.0043379765749265164,0.4496178248488807
10,gas_differential,0.9383525328963224,0.026461657107051617,2.742668731578158
11,submission_frequency,0.9211452258157806,0.04366896418759336,4.526152770145374
